子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]1参数4	[领取条件]1参数5	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]2参数4	[领取条件]2参数5	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]3参数4	[领取条件]3参数5	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[领取条件]4参数4	[领取条件]4参数5	[领取条件]5类型	[领取条件]5参数1	[领取条件]5参数2	[领取条件]5参数3	[领取条件]5参数4	[领取条件]5参数5	[领取条件]6类型	[领取条件]6参数1	[领取条件]6参数2	[领取条件]6参数3	[领取条件]6参数4	[领取条件]6参数5	[领取条件]7类型	[领取条件]7参数1	[领取条件]7参数2	[领取条件]7参数3	[领取条件]7参数4	[领取条件]7参数5	[领取条件]8类型	[领取条件]8参数1	[领取条件]8参数2	[领取条件]8参数3	[领取条件]8参数4	[领取条件]8参数5	[领取条件]9类型	[领取条件]9参数1	[领取条件]9参数2	[领取条件]9参数3	[领取条件]9参数4	[领取条件]9参数5	[领取条件]10类型	[领取条件]10参数1	[领取条件]10参数2	[领取条件]10参数3	[领取条件]10参数4	[领取条件]10参数5	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2参数2	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3参数2	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4参数2	[完成条件]4复杂参数	[完成条件]4次数	[完成条件]5类型	[完成条件]5参数1	[完成条件]5参数2	[完成条件]5复杂参数	[完成条件]5次数	[完成条件]6类型	[完成条件]6参数1	[完成条件]6参数2	[完成条件]6复杂参数	[完成条件]6次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[失败条件]3类型	[失败条件]3参数1	[失败条件]3参数2	[失败条件]3复杂参数	[失败条件]3次数	[失败条件]4类型	[失败条件]4参数1	[失败条件]4参数2	[失败条件]4复杂参数	[失败条件]4次数	[失败条件]5类型	[失败条件]5参数1	[失败条件]5参数2	[失败条件]5复杂参数	[失败条件]5次数	[失败条件]6类型	[失败条件]6参数1	[失败条件]6参数2	[失败条件]6复杂参数	[失败条件]6次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]参数3	[任务指引]参数4	[任务指引]参数5	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]1参数4	[执行]1参数5	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]2参数4	[执行]2参数5	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]3参数4	[执行]3参数5	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[执行]4参数4	[执行]4参数5	[执行]5类型	[执行]5参数1	[执行]5参数2	[执行]5参数3	[执行]5参数4	[执行]5参数5	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]1参数3	[失败执行]1参数4	[失败执行]1参数5	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]2参数3	[失败执行]2参数4	[失败执行]2参数5	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[失败执行]3参数3	[失败执行]3参数4	[失败执行]3参数5	[失败执行]4类型	[失败执行]4参数1	[失败执行]4参数2	[失败执行]4参数3	[失败执行]4参数4	[失败执行]4参数5	[失败执行]5类型	[失败执行]5参数1	[失败执行]5参数2	[失败执行]5参数3	[失败执行]5参数4	[失败执行]5参数5	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]1参数3	[开始执行]1参数4	[开始执行]1参数5	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]2参数3	[开始执行]2参数4	[开始执行]2参数5	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	[开始执行]3参数3	[开始执行]3参数4	[开始执行]3参数5	[开始执行]4类型	[开始执行]4参数1	[开始执行]4参数2	[开始执行]4参数3	[开始执行]4参数4	[开始执行]4参数5	[开始执行]5类型	[开始执行]5参数1	[开始执行]5参数2	[开始执行]5参数3	[开始执行]5参数4	[开始执行]5参数5	独占NPC	共享NPC	独占优先级	试用角色列表	加载技能组	独占情境ID	CoopPointID	刷新是否限定单机
102904	1029	7					1	102903	3																																																											2	102904																														149	20128																																				20128	2	2				1			15	20128	220128004																												14	102902																																																											1030		1000					1
102905	1029	8					1	102904	3																																																										2	20			102905	1	4	102905																									149	20128																																				20128	4	2	1			1																																	14	102902					32																								19	20128	220128002,1				19	20128	220128006,1				31	0																	1044		1000					1
102906	1029	9					1	102905	3																																																											2	102906																														149	20128																													2		1044					20128	2	2							15	20128	220128006				19	20128	220128006,1																						14	102902																													19	20128	220128006,1																												1044		1000					1
102907	1029	10			1		1	102905	3																																																											4	102907																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102908	1029	19					1	102906	3																																																											4	102908																														149	20128																																				3	4	2	1			1			15	20128	220128005				19	20128	220128006,2																						14	102902					32																								31	0																																				1
102909	1029	20					1	102908	3																																																											4	102909																														149	20128																																				3	4	2	1			1			32																														14	102902					32																								31	0																													1030,1044,1048,1049		1000					1
102910	1029	22					1	102909	3																																																											2	102910																														149	20128																																				20128	2	2	1			1			17	20130	3																												14	102902																																																											1030,1044,1048,1049,12544		1000					1
102911	1029	23	102901				1	102910	3																																																											2	102911																																																												2		1049					20130	2	2				1																																																																																													1030,1044,1048,1049,12544		1000					1
102912	1029	26				1	1	102911	3				1	102916	3				1	102917	3																																															4	102912																																																												1		Q102918_N1030					20130	2	2				1																																																															19	20130	220130003,1																												1030,1044,1048,1049,12544		1000					1
102913	1029	29					1	102918	3																																																											4	102913																														149	20130																													1		Q102914_N10204	20				20130	2	2	1			1			19	20130	220130001,1																												19	20130	220130003,1				19	20130	220130001,2				14	102912																	19	20130	220130001,2																												1030,1044,1048,1049,12544		1000					1
102914	1029	30					1	102913	3																																																											2	102930																																																												2		12494					20130	2	2																																																																																																	1030,1044,1048,1049,12544		1000					1
102915	1029	31					1	102914	3																																																											2	102931																																																												2		1048					20130	2	2				1																																																																																													1030,1044,1048,1049,10204,12544		1000					1
102916	1029	24	102901				1	102910	3																																																											2	102920																																																												2		1044					20130	2	2																																																																																																	1030,1044,1048,1049,12544		1000					1
102917	1029	25	102901				1	102910	3																																																											2	102921																																																												2		1048					20130	2	2																																																																																																	1030,1044,1048,1049,12544		1000					1
102918	1029	27					1	102912	3																																																											2	102912																																																												2		1030					20130	2	2							19	20130	220130003,2																																																																																								1030,1044,1048,1049,12544		1000					1
102919	1029	32	102902				1	102915	3																																																											2	102932																																																												2		1048					20130	2	2				1																																																																																													1030,1044,1048,1049,10204,12544		1000					1
102920	1029	33	102902				1	102915	3																																																											2	102933																																																												2		1044					20130	2	2																																																																																																	1030,1044,1048,1049,10204,12544		1000					1
102921	1029	34	102902				1	102915	3																																																											2	102934																																																												2		1049					20130	2	2																																																																																																	1030,1044,1048,1049,10204,12544		1000					1
102922	1029	35	102902				1	102915	3																																																											2	102935																																																												2		10204					20130	2	2																																																																																																	1030,1044,1048,1049,10204,12544		1000					1
102923	1029	36			1		1	102915	3																																																										1	2	102935				2	102932				2	102933				2	102934																																																				20130		2	1	1																																																																																															1030,1044,1048,1049,10204,12544		1000					1
102924	1029	16			1		1	102905	3																																																											4	102924																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102925	1029	15			1		1	102905	3																																																											4	102925																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102926	1029	14			1		1	102905	3																																																											4	102926																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102927	1029	13			1		1	102905	3																																																											4	102927																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102928	1029	12			1		1	102905	3																																																											4	102928																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102929	1029	11			1		1	102905	3																																																											4	102929																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102930	1029	17			1		1	102905	3																																																											4	102930																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102931	1029	18			1		1	102905	3																																																											4	102931																																																																			3	4	2	1						15	20128	220128006																																																																																															1
102932	1029	28			1		1	102912	3																																																											4	102932																																																												2		1030					20130	2	2							15	20130	220130003																																																																																								12544		1000					1
102933	1029	4			1		1	102901	3																																																											4	102933																																																												2		1030					20130	2	2	1						15	20130	220130002																																																																																															1
102934	1029	21			1		1	99902	3																																																											20			102934	1																																																																3	4	2	1																																																																																																							1
102935	1029	3					1	102901	3																																																											2	102901																																																												2		1030					20130	2	2							19	20130	220130002,2																																																																																															1
102936	1029	2					1	102901	4																																																											17	20130																																																												2		1030					20130	2	2				1			14	102901																																																																																									1030,1044,1048,1049		1000					1
103001	1030	1				4	1	102923	3				30	2013005	1				55	2013001					30	2013014	1																																									2	103001																																																												2		1005					20130	2	2				1			19	20130	220130004,2																																																										19	20130	220130004,1																												10204,1048,1030,1049,1044,12544		1000					1
103002	1030	2					1	103001	3																																																											2	103002																																																												2		1049					20130	2	2				1																																																																																													10204,1048,1030,1049,1044,12544		1000					1
103003	1030	3					1	103002	3																																																											9	1133	5																																																											1		Q103003_guide					20130	4	2	1			1			19	20130	220130008,2																																																										2	20130	5				19	20129	220129004,1				19	20130	220130010,2				19	20130	220130008,1										10204,1048,1030,1049,1044,12544		1000					1
103004	1030	7			1	1	1	103007	3				24	2																																																						20			103004	1																																																																3	4	2	1				101864	1	49	2	1																																																										19	20129	220129026,1																												1030		1000					1
103005	1030	25					1	103019	3																																																											4	103005																														149	20129																																				3	4	2	1			1																																	14	103003																																																																		1
103006	1030	26					1	103005	3																																																											2	103040																														149	20129																																				3	4	2	1				101865	1																															14	103003																																																											10204,1030		1000					1
103007	1030	4					1	103003	3																																																											2	103007																														149	20129																																				20129	2	2				1																																	14	103003																													32						20	40					19	20129	220129004,1				19	20129	220129024,2;220129025,2;220129026,2										1030		1000					1
103008	1030	8					1	103007	3																																																											20			103008	1																										2	149	20129				150	20129	50	Q1030_BattleA																													3	4	2	1						32						20	40																							14	103007					32						20	40																	19	20129	220129004,2				61	40																										40				1
103009	1030	9					1	103008	3																																																											2	103009																														149	20129																																				20129	2	2	1						19	20129	220129004,1																												14	103003																																																											1030		1000					1
103010	1030	5			1	1	1	103007	3				24																																																							20			103010	1																																																																3	4	2	1				101862	1	49	0	1																																																										19	20129	220129024,1																																			1
103011	1030	11					1	103009	3																																																											4	103011																														149	20129																																				3	4	2	1			1																																	14	103003																													32						20	40					20	41					19	20129	220129005,1																	1
103012	1030	12					1	103011	3																																																											2	103012																														149	20129																																				20129	2	2	1																																				14	103003																																																											1048		1000					1
103013	1030	13					1	103012	3																																																											20			103013	1																										2	149	20129				150	20129	50	Q1030_BattleB																													3	4	2	1						32						20	40					20	41																	14	103011					32						20	40					20	41											19	20129	220129005,2				69	40,41																										40,41				1
103014	1030	14					1	103013	3																																																											2	103014																														149	20129																																				20129	2	2	1						19	20129	220129005,1				19	20129	220129030,2																						14	103003																																																											1048		1000					1
103015	1030	6			1	1	1	103007	3				24	1																																																						20			103015	1																																																																3	4	2	1				101863	1	49	1	1																																																										19	20129	220129025,1																																			1
103016	1030	16					1	103014	3																																																											4	103016																														149	20129																																				3	4	2	1			1																																	14	103003																													20	42					32						19	20129	220129006,1				19	20129	220129015,1																	1
103017	1030	17					1	103016	3																																																											2	103017																														149	20129																																				20129	2	2	1																																				14	103003																																																											10204		1000					1
103018	1030	18					1	103017	3																																																										2	20			103018	1	4	103018																								2	149	20129				150	20129	50	Q1030_BattleC																													3	4	2	1						20	42					32						19	20129	220129015,1																14	103016					20	42					32						19	20129	220129015,1										61	42					19	20129	220129015,2				19	20129	220129006,2																			42				1
103019	1030	19					1	103018	3																																																											2	103019																														149	20129																																				20129	2	2	1						19	20129	220129006,1																												14	103003																																																											10204		1000					1
103020	1030	30					1	103006	3																																																											4	103020																														149	20129																																				3	4	2	1			1																																	14	103003																													32						19	20129	220129003,1																													1
103021	1030	31					1	103020	3																																																											2	103021																														149	20129																																				20129	2	2	1																																				14	103003																																																											1048,1030		1000					1
103022	1030	32					1	103021	3																																																											4	103022																														149	20129																																				3	4	2	1																																				14	103003					32																								19	20129	220129003,1				31	0																														1
103023	1030	33					1	103022	3																																																											2	103023																														149	20129																																				20129	2	2	1																																				14	103003					32																																																						1030		1000					1
103024	1030	24					1	99902	3																																																											20			103024	1																																																																3	4	2	1																																																																																																							1
103025	1030	34					1	103023	3																																																											20			103025	1																											149	20129																																				3	4	2	1																																				14	103003					32																								19	20129	220129003,2																												1025		1000					1
103026	1030	35					1	103025	3																																																											2	103026																														149	20129																													2		1048					20129	2	2							32						19	20129	220129003,1																						14	103003					32																																																						1048,1030		1000					1
103027	1030	36					1	103026	3																																																											149	20129																																																																			20129	2	2	1	1		1			17	20130	5																																																										19	20129	220129023,2				19	20129	220129011,2																						10204,1048,1030		1000					1
103101	1031	1					1	103027	3																																																											2	103101																																																												2		1048					20130	2	2				1																																																																																													1048		1000					1
103102	1031	2					1	103101	3																																																											2	103102																																																												2		1049					20130	2	2				1			19	20130	220130010,1																																																										19	20130	220130041,1				19	20130	220130010,2																						1049,1044		1000					1
103103	1031	4			1		1	103102	3																																																											4	103103																																																																			3	4	2	1						57	6	151				56	6	146				17	6	19				21	14					17	6	20																																																																							1
103104	1031	5					1	103103	3																																																											2	103104																																																												2		10204					3	2	2				1																																																															1	101862	1				1	101863	1				1	101864	1				1	101865	1										10204,1030,1048,1049,1044,12544		1000					1
103105	1031	7					1	103104	3																																																											4	103105																																																												1		Q103106_N10204					3	4	2				1																																																																																													10204		1000					1
103106	1031	8					1	103105	3																																																											2	103106																																																												2		10204					3	2	2		1					43	103106	1																																																																																								10204		1000					1
103107	1031	3			1		1	103101	3																																																											4	103107																																																																			20130	2	2	1						15	20130	220130010																																																																																										1000					1
103108	1031	9			1		1	103105	3																																																											4	103108																																																																			3	2	2	1						21	18																																																																																											1000					1
103109	1031	6			1		1	103103	3																																																											4	103109																																																																			3	2	2	1						21	14																																																																																											1000					1
103201	1032	1			1	1	1	102923	3				30	2013016	1																																																					136	103001	2																																																																						1		1																																																																																																				1
103301	1033	1			1		1	103106	3																																																										2	150	3	80	Q103106_N10204		136	7103503	2			136	7103504	2																																																												1		1																																																																																																				1
200001	2000	2				1	44	10010	1				55	2005001																																																						4	200001																																																												1		Q200002Player					3	4	2				1																																																																																																				
200002	2000	3					1	200001	3																																																											2	200002																																																																																																																																																																													
200003	2000	4					1	200002	3																																																										2	2	200003				2	200025																																																							2		207701					3	2	2				1																																																																																													2077		1000					
200004	2000	5					1	200003	3																																																										2	2	200004				2	200026																																																							1		Q200004Beidou	30				3	4	2	1			1																																																															46	3	133108007				46	3	133108008				19	3	133108008,2																1032,1031		1000			40039		
200005	2000	7	1				1	200011	3																																																											2	200005																																																												2		10409					3	2	2							23	200008	1																																																																																								1032,1031,10412,10409,10410,10411,10415		1000			40039		
200006	2000	8	1				1	200011	3																																																											2	200006																																																												2		10410					3	2	2							23	200008	1																																																																																								1032,1031,10412,10409,10410,10411,10415		1000			40039		
200007	2000	9	1				1	200011	3																																																											2	200007																																																												2		10415					3	2	2							23	200008	1				19	3	133108906,3																																																																																		1032,1031,10412,10409,10410,10411,10415		1000			40039		
200008	2000	10			1		1	200011	3																																																											24	200008			3																																																																									23	200009	1																																																																																															
200009	2000	11			1		1	200011	3																																																											24	200009			1																																																																						1																																																															46	3	133108007																												1032,1031,10412,10409,10410,10411,10415		1000			40039		
200010	2000	12					1	200009	3																																																											2	200010																																																												2		10412					3	2	2		1		1																																																															46	3	133108007				46	3	133108008				19	3	133108008,2																10412,10409,10410,10411,1031,1032		1000			40039		
200011	2000	6					1	200004	3																																																											4	200011																																																												1		Q200011Trigger	60				3	4	2	1			1																																																															19	3	133108906,2				46	3	133108007				46	3	133108008				19	3	133108008,2										1032,1031		1000			40039		
200012	2000	1			1		44	10006	1																																																											136	800311	3																																																																								1																																																																																																				1
200101	2001	1					1	200010	3																																																											4	200101																																																												2		10412					3	2	2				1																																																															46	3	133108007				46	3	133108008				19	3	133108008,2				47	133108907					55	3					10412,10409,10410,10411,1031,1032		1000			40039		
